time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-09 00:00:00+00:00,197,49,1229,306
2022-11-10 00:00:00+00:00,110,24,958,260
2022-11-11 00:00:00+00:00,154,25,797,282
2022-11-12 00:00:00+00:00,59,13,1571,575
2022-11-13 00:00:00+00:00,67,18,1657,721
2022-11-14 00:00:00+00:00,178,33,1316,332
2022-11-15 00:00:00+00:00,105,21,1192,343
2022-11-16 00:00:00+00:00,133,30,980,257
2022-11-17 00:00:00+00:00,107,24,721,214
2022-11-18 00:00:00+00:00,69,16,637,210
2022-11-19 00:00:00+00:00,63,23,771,208
2022-11-20 00:00:00+00:00,169,23,1147,268
2022-11-21 00:00:00+00:00,164,31,1126,352
2022-11-22 00:00:00+00:00,42,17,1544,632
