time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-21 00:00:00+00:00,164,31,1126,352
2022-11-22 00:00:00+00:00,48,23,1820,691
2022-11-23 00:00:00+00:00,32,14,1411,425
2022-11-24 00:00:00+00:00,95,21,1000,246
2022-11-25 00:00:00+00:00,68,21,857,227
2022-11-26 00:00:00+00:00,81,18,962,222
2022-11-27 00:00:00+00:00,111,19,1071,200
2022-11-28 00:00:00+00:00,152,24,737,209
2022-11-29 00:00:00+00:00,18,10,641,223
2022-11-30 00:00:00+00:00,90,29,751,207
2022-12-01 00:00:00+00:00,56,21,638,168
2022-12-02 00:00:00+00:00,92,19,623,182
2022-12-03 00:00:00+00:00,98,20,648,168
2022-12-04 00:00:00+00:00,195,26,821,196
