time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-27 00:00:00+00:00,111,19,1071,200
2022-11-28 00:00:00+00:00,152,24,737,209
2022-11-29 00:00:00+00:00,18,10,641,223
2022-11-30 00:00:00+00:00,90,29,751,207
2022-12-01 00:00:00+00:00,56,21,638,168
2022-12-02 00:00:00+00:00,92,19,623,182
2022-12-03 00:00:00+00:00,98,20,648,168
2022-12-04 00:00:00+00:00,218,30,883,217
2022-12-05 00:00:00+00:00,246,37,869,236
2022-12-06 00:00:00+00:00,119,30,833,172
2022-12-07 00:00:00+00:00,157,25,825,177
2022-12-08 00:00:00+00:00,168,31,822,240
2022-12-09 00:00:00+00:00,313,41,785,201
2022-12-10 00:00:00+00:00,166,27,792,216
