time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-13 00:00:00+00:00,114,11,828,281
2022-08-14 00:00:00+00:00,22,12,2487,1076
2022-08-15 00:00:00+00:00,52,15,1476,362
2022-08-16 00:00:00+00:00,148,22,1701,561
2022-08-17 00:00:00+00:00,63,22,2266,700
2022-08-18 00:00:00+00:00,137,17,2079,467
2022-08-19 00:00:00+00:00,71,12,1861,461
2022-08-20 00:00:00+00:00,114,11,1332,356
2022-08-21 00:00:00+00:00,214,11,1548,312
2022-08-22 00:00:00+00:00,60,14,1982,557
2022-08-23 00:00:00+00:00,164,10,1523,433
2022-08-24 00:00:00+00:00,97,11,1286,311
2022-08-25 00:00:00+00:00,116,15,868,219
2022-08-26 00:00:00+00:00,162,7,1067,323
