time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-01 00:00:00+00:00,105,13,1455,452
2022-10-02 00:00:00+00:00,125,14,1125,362
2022-10-03 00:00:00+00:00,24,12,776,276
2022-10-04 00:00:00+00:00,98,12,1008,268
2022-10-05 00:00:00+00:00,124,14,849,276
2022-10-06 00:00:00+00:00,292,16,1051,219
2022-10-07 00:00:00+00:00,128,14,755,246
2022-10-08 00:00:00+00:00,28,15,977,316
2022-10-09 00:00:00+00:00,32,9,1278,471
2022-10-10 00:00:00+00:00,52,18,1196,320
2022-10-11 00:00:00+00:00,34,14,1070,414
2022-10-12 00:00:00+00:00,136,12,977,239
2022-10-13 00:00:00+00:00,55,17,965,203
2022-10-14 00:00:00+00:00,125,18,888,217
